     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   15    0   83.33  58.33    10       7          12    0 0 0 0
     2    7    0   33.33  16.67     2       1           6    0 0 0 0
     3    5    0  100.00  50.00     4       2           4    0 0 0 0
     4    8    0   71.43  28.57     5       2           7    0 0 0 0
     5    7    0   66.67  50.00     4       3           6    0 0 0 0
     6    9    0   66.67  33.33     4       2           6    0 0 0 0
     7    5    0   50.00  50.00     2       2           4    0 0 0 0
     8    4    0  100.00 100.00     3       3           3    0 0 0 0
     9    9    0  100.00  62.50     8       5           8    0 0 0 0
    10    5    0  100.00  75.00     4       3           4    0 0 0 0
    11    8    0  100.00  66.67     6       4           6    0 0 0 0
    12    7    0  100.00  83.33     6       5           6    0 0 0 0
    13    6    0  100.00  80.00     5       4           5    0 0 0 0
    14    5    0  100.00  50.00     4       2           4    0 0 0 0
    15    6    0  100.00  80.00     5       4           5    0 0 0 0
    16   12    0   80.00  70.00     8       7          10    0 0 0 0
    17    9    0   66.67  33.33     4       2           6    0 0 0 0
    18    9    0   87.50  62.50     7       5           8    0 0 0 0
    19    5    0  100.00  33.33     3       1           3    0 0 0 0
    20    5    0   75.00  25.00     3       1           4    0 0 0 0
    21   10    0   62.50  25.00     5       2           8    0 0 0 0
    22   14    0   84.62  46.15    11       6          13    0 0 0 0
    23   11    0   44.44  33.33     4       3           9    0 0 0 0
    24    9    0   71.43  28.57     5       2           7    0 0 0 0
    25    8    0   85.71  42.86     6       3           7    0 0 0 0
    26    9    0   71.43  42.86     5       3           7    0 0 0 0
    27    6    0   60.00  20.00     3       1           5    0 0 0 0
    28    9    0  100.00  42.86     7       3           7    0 0 0 0
    29    9    0   71.43  28.57     5       2           7    0 0 0 0
    30    8    0  100.00  50.00     6       3           6    0 0 0 0
    31   12    0   80.00  40.00     8       4          10    0 0 0 0
    32   10    0   62.50  62.50     5       5           8    0 0 0 0
    33   14    0   83.33  33.33    10       4          12    0 0 0 0
    34    8    0   83.33  50.00     5       3           6    0 0 0 0
    35   12    0   90.00  50.00     9       5          10    0 0 0 0
    36   16    0   92.86  42.86    13       6          14    0 0 0 0
    37   12    0   80.00  50.00     8       5          10    0 0 0 0
    38    9    0   71.43  28.57     5       2           7    0 0 0 0
    39   11    0   50.00  37.50     4       3           8    0 0 0 0
    40   21    0   61.11  33.33    11       6          18    0 0 0 0
    41   10    0  100.00  50.00     8       4           8    0 0 0 0
    42   15    0   92.31  76.92    12      10          13    0 0 0 0
    43    7    0   83.33  83.33     5       5           6    0 0 0 0
    44   10    0  100.00  88.89     9       8           9    0 0 0 0
    45    7    0  100.00  50.00     6       3           6    0 0 0 0
    46    6    0   80.00  20.00     4       1           5    0 0 0 0
    47   18    0   88.24  58.82    15      10          17    0 0 0 0
    48   10    0  100.00  66.67     9       6           9    0 0 0 0
    49    8    0   71.43  42.86     5       3           7    0 0 0 0
    50    6    0   60.00  40.00     3       2           5    0 0 0 0
    51    9    0   62.50  50.00     5       4           8    0 0 0 0
    52   11    0   37.50  12.50     3       1           8    0 0 0 0
    53   16    0   69.23  61.54     9       8          13    0 0 0 0
    54    6    0  100.00  60.00     5       3           5    0 0 0 0
    55    5    0  100.00  75.00     4       3           4    0 0 0 0
    56    9    0   71.43  57.14     5       4           7    0 0 0 0
    57    6    0   60.00  40.00     3       2           5    0 0 0 0
    58   11    0   80.00  50.00     8       5          10    0 0 0 0
    59    4    0   33.33  33.33     1       1           3    0 0 0 0
    60   10    0   44.44  22.22     4       2           9    0 0 0 0
    61    4    0  100.00  33.33     3       1           3    0 0 0 0
    62   14    0   91.67  41.67    11       5          12    0 0 0 0
    63    7    0   66.67  50.00     4       3           6    0 0 0 0
    64   10    0  100.00  77.78     9       7           9    0 0 0 0
    65    9    0   85.71  57.14     6       4           7    0 0 0 0
    66   11    0   70.00  50.00     7       5          10    0 0 0 0
    67   11    0   50.00  50.00     4       4           8    0 0 0 0
    68   12    0   50.00  50.00     4       4           8    0 0 0 0
    69   10    0   88.89  55.56     8       5           9    0 0 0 0
    70   11    0   88.89  55.56     8       5           9    0 0 0 0
    71   13    0   63.64  54.55     7       6          11    0 0 0 0
    72    9    0   71.43  42.86     5       3           7    0 0 0 0
    73   22    0   45.00  35.00     9       7          20    0 0 0 0
    74    5    0  100.00  50.00     4       2           4    0 0 0 0
    75    4    0  100.00 100.00     2       2           2    0 0 0 0
    76    7    0  100.00  40.00     5       2           5    0 0 0 0
    77    5    0  100.00  50.00     4       2           4    0 0 0 0
    78    8    0   83.33  33.33     5       2           6    0 0 0 0
